description,license_type
aquaculture license: established in 2017,al
carrier,car
commercial fishing crew,cfc
commercial fishing non resident,ncf
commercial fishing single,cfs
commercial pelagic and anadromous crew,cpc
commercial pelagic and anadromous single,cps
commercial shellfish,cs
commercial shellfish + 70,cso
commercial shellfish under 18,csu
commercial shrimp crew,csws
commercial shrimp single,csw
demo lobster,dl
demo scuba,ds
eel pot,ep
elver ,elv
elver 1 fyke net,e1
elver 1 fyke net crew,e1c
elver 2 fyke net,e2
elver 2 fyke net with crew,e2c
elver dealer,ed
elver dealer supplemental ,eds
elver dip net,e0
elver dip net 1 fyke net,e6
elver dip net 1 fyke net crew,e6c
elver dip net crew,e0c
elver exporter,eex
elver non resident,e29
enhanced retail,re
federal halibut crew,fhc
green crab,gc
green crab non resident,gcn
lobster crab + 70,lco
lobster crab apprentace under 18,lau
lobster crab apprentice,la
lobster crab apprentice + 70,lao
lobster crab class i,lc1
lobster crab class ii,lc2
lobster crab class ii + 70,lc2o
lobster crab class iii,lc3
lobster crab class iii + 70,lc3o
lobster crab non commerical,lnc
lobster crab student ,lcs
lobster crab under 18,lcu
lobster meat permit,lmp
lobster processor,lpl
lobster processor tails only,lpto
lobster transportation,lt
lobster transportation supplemental,lts
mal elver 1 fyke (mal elver fyke),maef
mal elver dip,maed
maliseet elver dip license ,madf
marine worm dealer,mw
marine worm dealer supplemental,mws
marine worm digging,mwd
menhaden commercial,menc
menhaden commercial non-res,mennr
menhaden non commercial,menr
mic comm shellfish,mics
mic elv dip 1 fyke,midf
mic elver (1) fyke,mief
mic elver dip 1 fyke crew,midfc
mic lob/crab class 1,milc1
mic marine worm,mimwd
mic scallop diver with tender,misdt
mic scallop dragger,misd
mussel boat,mb
mussel dragger,md
mussel hand,mh
non federal halibut crew,nfhc
non federal halibut single,nfhs
non-res lob crab landing,nrlp
non-res lobster apprentice,nla
non-res lobster class 1,nlc1
non-resident pelagic and anadromous,ncp
non-resident tuna permit,ntp
nonresident seaweed buyer,swbn
pass apprentice lobster,pal
pass com fish,pcf
pass comm fish crew,pcfc
pass comm fish single,pcps
pass comm shellfish,pcs
pass elver (1) fyke,pelf
pass elver (1) fyke crew,pelfc
pass elver dip,peld
pass elver dip crew,peldc
pass elver fyke dip,pefd
pass lob crab class i,plc1
pass lob crab class ii,plc2
pass lob crab class iii,plc3
pass lobster crab,plc
pass scallop dive,psdi
pass scallop dragger,psd
pass sea urch sustenance,push
pass seaweed,psw
pass sust comm fish,pscf
pass sust lobster,psul
pass sust scallop,psus
pass sust sea urchin,pssu
pass sust shellfish,pssh
pass urchin diver,psuh
pass urchin dragger,psub
pass urchin/scallop tender,pten
penob appr lobster,nbal
penob comm fish single,nbcfs
penob comm shellfish,nbcs
penob commercial fishing,nbcf
penob elver (1) fyke,nbef
penob elver 2 fyke,nbef2
penob elver 2 fyke crew,nbef2c
penob elver dip,nbed
penob elver dip 1 fyke,nbedf
penob lobster crab,nblc
penob mussel dragger,nbmd
penob mussel hand,nbmh
penob scallop dragger,nbsd
penob sust fish,nbsf
penob sust lobster,nbsl
penob sust scallop,nbsc
penob sust shellfish,nbss
quahog (mahogany),qm
recreational saltwater fishing operater,swro
recreational saltwater fishing sup,swrs
recreational saltwater registry,swr
retail seafood,r
scallop diver,sdi
scallop dragger,sb
scallop non commericial,ncs
scallop with tender,sdt
sea cucumber drag,scd
sea urchin diver,suh
sea urchin dragger,sub
sea urchin raking,sur
sea urchin with tender,suwt
seaweed,sw
seaweed non resident,nrs
seaweed non resident supp,nrss
seaweed supplemental,sws
shellfish trans out-of-state,st
shellfish trans supp,sts
spat,spt
surf clam boat,surf
tender,ten
vibrio harvester,vh
wholesale no lobster,w
wholesale no lobster supplemental,ws
wholesale with lobster,wl
wholesale with lobster supplemental,wls
